month,n_tickers,delta_vs_today
2020-01,363,-140
2020-02,363,-140
2020-03,365,-138
2020-04,365,-138
2020-05,365,-138
2020-06,365,-138
2020-07,365,-138
2020-08,366,-137
2020-09,366,-137
2020-10,370,-133
2020-11,371,-132
2020-12,371,-132
2021-01,372,-131
2021-02,374,-129
2021-03,378,-125
2021-04,379,-124
2021-05,379,-124
2021-06,382,-121
2021-07,384,-119
2021-08,388,-115
2021-09,389,-114
2021-10,390,-113
2021-11,395,-108
2021-12,400,-103
2022-01,400,-103
2022-02,401,-102
2022-03,402,-101
2022-04,403,-100
2022-05,407,-96
2022-06,407,-96
2022-07,407,-96
2022-08,408,-95
2022-09,408,-95
2022-10,409,-94
2022-11,414,-89
2022-12,415,-88
2023-01,415,-88
2023-02,416,-87
2023-03,416,-87
2023-04,416,-87
2023-05,418,-85
2023-06,419,-84
2023-07,421,-82
2023-08,425,-78
2023-09,428,-75
2023-10,431,-72
2023-11,435,-68
2023-12,436,-67
2024-01,436,-67
2024-02,437,-66
2024-03,437,-66
2024-04,439,-64
2024-05,445,-58
2024-06,445,-58
2024-07,447,-56
2024-08,449,-54
2024-09,451,-52
2024-10,453,-50
2024-11,459,-44
2024-12,464,-39
2025-01,466,-37
2025-02,467,-36
2025-03,467,-36
2025-04,467,-36
2025-05,470,-33
2025-06,475,-28
2025-07,478,-25
2025-08,480,-23
2025-09,482,-21
2025-10,487,-16
2025-11,495,-8
2025-12,497,-6
2026-01,497,-6
2026-02,498,-5
2026-03,498,-5
2026-04,499,-4
